Participant,Interaction,Hand,Bone,X,Y,Z,Time
3,1,L,b_l_index1,-0.03487727,2.126709,-0.1458607,185.797
3,1,L,b_l_index2,-0.02955409,2.157598,-0.1245065,185.797
3,1,L,b_l_index3,-0.0251954,2.178617,-0.1131105,185.797
3,1,L,b_l_middle1,-0.01530809,2.117618,-0.1400616,185.797
3,1,L,b_l_middle2,-0.006330349,2.149911,-0.1132421,185.797
3,1,L,b_l_middle3,-4.938804E-05,2.17134,-0.09710684,185.797
3,1,L,b_l_ring1,0.002078611,2.107469,-0.1452799,185.797
3,1,L,b_l_ring2,0.009679977,2.136554,-0.1204412,185.797
3,1,L,b_l_ring3,0.01504231,2.156549,-0.1037797,185.797
3,1,L,b_l_pinky0,-0.005025616,2.060575,-0.1730802,185.797
3,1,L,b_l_pinky1,0.0177161,2.095903,-0.155228,185.797
3,1,L,b_l_pinky2,0.02698285,2.116838,-0.1347439,185.797
3,1,L,b_l_pinky3,0.03463129,2.132224,-0.1239121,185.797
3,1,L,l_thumb_finger_tip_marker,-0.08464715,2.164997,-0.188332,185.797
3,1,L,l_index_finger_tip_marker,-0.01992132,2.197231,-0.101843,185.797
3,1,L,l_middle_finger_tip_marker,0.005181674,2.187391,-0.0786777,185.797
3,1,L,l_ring_finger_tip_marker,0.01857249,2.173223,-0.08634611,185.797
3,1,L,l_pinky_finger_tip_marker,0.04073213,2.147996,-0.1099069,185.797
3,1,R,b_r_wrist,0.205566,2.030009,-0.1677753,185.797
3,1,R,b_r_forearm_stub,0.205566,2.030009,-0.1677753,185.797
3,1,R,b_r_thumb0,0.2124845,2.054116,-0.1635995,185.797
3,1,R,b_r_thumb1,0.2272488,2.07376,-0.15989,185.797
3,1,R,b_r_thumb2,0.2392162,2.103962,-0.1585883,185.797
3,1,R,b_r_thumb3,0.245933,2.136452,-0.1521631,185.797
3,1,R,b_r_index1,0.2205933,2.109442,-0.1104347,185.797
3,1,R,b_r_index2,0.2198429,2.142452,-0.09177276,185.797
3,1,R,b_r_index3,0.2185773,2.164658,-0.08197699,185.797
3,1,R,b_r_middle1,0.1999768,2.102415,-0.1054548,185.797
3,1,R,b_r_middle2,0.1948442,2.136301,-0.07960647,185.797
3,1,R,b_r_middle3,0.1908086,2.160406,-0.06689364,185.797
3,1,R,b_r_ring1,0.1809359,2.096704,-0.1115676,185.797
3,1,R,b_r_ring2,0.1755029,2.127725,-0.08856985,185.797
3,1,R,b_r_ring3,0.1717699,2.151214,-0.07671787,185.797
3,1,R,b_r_pinky0,0.1789209,2.057444,-0.1499979,185.797
3,1,R,b_r_pinky1,0.1632066,2.090511,-0.1227286,185.797
3,1,R,b_r_pinky2,0.155303,2.112869,-0.1031995,185.797
3,1,R,b_r_pinky3,0.1499756,2.131394,-0.09679803,185.797
3,1,R,r_thumb_finger_tip_marker,0.2559562,2.158914,-0.1510564,185.797
3,1,R,r_index_finger_tip_marker,0.2164928,2.183273,-0.06971297,185.797
3,1,R,r_middle_finger_tip_marker,0.1870441,2.178977,-0.05059661,185.797
3,1,R,r_ring_finger_tip_marker,0.1694352,2.17216,-0.06446128,185.797
3,1,R,r_pinky_finger_tip_marker,0.1465386,2.151744,-0.0892996,185.797
3,1,L,b_l_wrist,-0.0368095,2.035088,-0.1825944,242.5114
3,1,L,b_l_forearm_stub,-0.0368095,2.035088,-0.1825944,242.5114
3,1,L,b_l_thumb0,-0.03949114,2.06032,-0.1842072,242.5114
3,1,L,b_l_thumb1,-0.05288647,2.081245,-0.1835848,242.5114
3,1,L,b_l_thumb2,-0.06342471,2.111795,-0.1871484,242.5114
3,1,L,b_l_thumb3,-0.07142161,2.144621,-0.1864478,242.5114
3,1,L,b_l_index1,-0.03459321,2.127165,-0.145984,242.5114
3,1,L,b_l_index2,-0.02930086,2.158192,-0.124822,242.5114
3,1,L,b_l_index3,-0.02499037,2.179243,-0.1134662,242.5114
3,1,L,b_l_middle1,-0.01501809,2.118072,-0.1402088,242.5114
3,1,L,b_l_middle2,-0.006046183,2.150457,-0.1134979,242.5114
3,1,L,b_l_middle3,0.0002452284,2.171986,-0.09750111,242.5114
3,1,L,b_l_ring1,0.002347252,2.107895,-0.1454431,242.5114
3,1,L,b_l_ring2,0.0100955,2.13702,-0.1206963,242.5114
3,1,L,b_l_ring3,0.01555737,2.157039,-0.1040971,242.5114
3,1,L,b_l_pinky0,-0.004864189,2.060937,-0.1731081,242.5114
3,1,L,b_l_pinky1,0.01795084,2.096291,-0.1553994,242.5114
3,1,L,b_l_pinky2,0.02739211,2.117316,-0.135088,242.5114
3,1,L,b_l_pinky3,0.03514222,2.132785,-0.1244491,242.5114
3,1,L,l_thumb_finger_tip_marker,-0.08444972,2.165398,-0.1886421,242.5114
3,1,L,l_index_finger_tip_marker,-0.01975071,2.19791,-0.1022703,242.5114
3,1,L,l_middle_finger_tip_marker,0.005522125,2.18824,-0.07926378,242.5114
3,1,L,l_ring_finger_tip_marker,0.0191815,2.173744,-0.08671246,242.5114
3,1,L,l_pinky_finger_tip_marker,0.04136547,2.148673,-0.1106295,242.5114
3,1,R,b_r_wrist,0.2058002,2.030373,-0.1677984,242.5114
3,1,R,b_r_forearm_stub,0.2058002,2.030373,-0.1677984,242.5114
3,1,R,b_r_thumb0,0.2127155,2.054495,-0.1637046,242.5114
3,1,R,b_r_thumb1,0.2273393,2.074264,-0.1600984,242.5114
3,1,R,b_r_thumb2,0.2391277,2.104534,-0.158742,242.5114
3,1,R,b_r_thumb3,0.2459554,2.136993,-0.1522825,242.5114
3,1,R,b_r_index1,0.2207641,2.11002,-0.1107377,242.5114
3,1,R,b_r_index2,0.2199997,2.143079,-0.09216348,242.5114
3,1,R,b_r_index3,0.2187294,2.165307,-0.08241946,242.5114
3,1,R,b_r_middle1,0.2001411,2.103013,-0.1057564,242.5114
3,1,R,b_r_middle2,0.1950832,2.137006,-0.08003449,242.5114
3,1,R,b_r_middle3,0.1910835,2.161237,-0.06755175,242.5114
3,1,R,b_r_ring1,0.1811071,2.097281,-0.1118708,242.5114
3,1,R,b_r_ring2,0.1756267,2.12846,-0.08910049,242.5114
3,1,R,b_r_ring3,0.1718702,2.15205,-0.07745789,242.5114
3,1,R,b_r_pinky0,0.1791357,2.057876,-0.1501561,242.5114
3,1,R,b_r_pinky1,0.1633909,2.091046,-0.1230299,242.5114
3,1,R,b_r_pinky2,0.1554643,2.113659,-0.1038061,242.5114
3,1,R,b_r_pinky3,0.1501572,2.132282,-0.09767608,242.5114
3,1,R,r_thumb_finger_tip_marker,0.2560387,2.159427,-0.1511469,242.5114
3,1,R,r_index_finger_tip_marker,0.2166269,2.183984,-0.07025301,242.5114
3,1,R,r_middle_finger_tip_marker,0.1873426,2.179966,-0.05143134,242.5114
3,1,R,r_ring_finger_tip_marker,0.1695133,2.173127,-0.06543235,242.5114
3,1,R,r_pinky_finger_tip_marker,0.1467384,2.152736,-0.09045959,242.5114
3,1,L,b_l_wrist,-0.03675261,2.035388,-0.1825164,273.0051
3,1,L,b_l_forearm_stub,-0.03675261,2.035388,-0.1825164,273.0051
3,1,L,b_l_thumb0,-0.03940913,2.06062,-0.1841726,273.0051
3,1,L,b_l_thumb1,-0.05280006,2.081548,-0.1835588,273.0051
3,1,L,b_l_thumb2,-0.06332534,2.112078,-0.1873286,273.0051
3,1,L,b_l_thumb3,-0.07124287,2.144927,-0.1868562,273.0051
3,1,L,b_l_index1,-0.03438616,2.127532,-0.1460812,273.0051
3,1,L,b_l_index2,-0.02921769,2.158675,-0.1250612,273.0051
3,1,L,b_l_index3,-0.02501199,2.17975,-0.113711,273.0051
3,1,L,b_l_middle1,-0.01481298,2.118428,-0.140316,273.0051
3,1,L,b_l_middle2,-0.005907524,2.150898,-0.1136865,273.0051
3,1,L,b_l_middle3,0.0003577489,2.172528,-0.09781646,273.0051
3,1,L,b_l_ring1,0.002534107,2.108222,-0.1455551,273.0051
3,1,L,b_l_ring2,0.0103882,2.137374,-0.1208739,273.0051
3,1,L,b_l_ring3,0.01592264,2.157415,-0.1043254,273.0051
3,1,L,b_l_pinky0,-0.004766285,2.061221,-0.1731224,273.0051
3,1,L,b_l_pinky1,0.01811139,2.096582,-0.1555112,273.0051
3,1,L,b_l_pinky2,0.02768501,2.117654,-0.1353106,273.0051
3,1,L,b_l_pinky3,0.03550996,2.133212,-0.1248571,273.0051
3,1,L,l_thumb_finger_tip_marker,-0.08409488,2.165798,-0.189192,273.0051
3,1,L,l_index_finger_tip_marker,-0.01985951,2.198463,-0.1025521,273.0051
3,1,L,l_middle_finger_tip_marker,0.005643274,2.188981,-0.07976086,273.0051
3,1,L,l_ring_finger_tip_marker,0.01961403,2.174148,-0.08698132,273.0051
3,1,L,l_pinky_finger_tip_marker,0.04182489,2.149221,-0.1112202,273.0051
3,1,R,b_r_wrist,0.2059418,2.030693,-0.1678632,273.0051
3,1,R,b_r_forearm_stub,0.2059418,2.030693,-0.1678632,273.0051
3,1,R,b_r_thumb0,0.2128589,2.054824,-0.1638309,273.0051
3,1,R,b_r_thumb1,0.2273307,2.07472,-0.1603153,273.0051
3,1,R,b_r_thumb2,0.2388896,2.105083,-0.1590431,273.0051
3,1,R,b_r_thumb3,0.2457255,2.13756,-0.1526824,273.0051
3,1,R,b_r_index1,0.2208504,2.110503,-0.1110168,273.0051
3,1,R,b_r_index2,0.2200544,2.143588,-0.09249082,273.0051
3,1,R,b_r_index3,0.2187688,2.165828,-0.08277423,273.0051
3,1,R,b_r_middle1,0.2002181,2.103517,-0.1060439,273.0051
3,1,R,b_r_middle2,0.1952176,2.13768,-0.08053672,273.0051
3,1,R,b_r_middle3,0.1912443,2.162075,-0.06836836,273.0051
3,1,R,b_r_ring1,0.181191,2.097773,-0.1121681,273.0051
3,1,R,b_r_ring2,0.1756395,2.129125,-0.08965404,273.0051
3,1,R,b_r_ring3,0.1718476,2.152832,-0.07826214,273.0051
3,1,R,b_r_pinky0,0.1792611,2.058256,-0.1503397,273.0051
3,1,R,b_r_pinky1,0.1634886,2.091511,-0.1233337,273.0051
3,1,R,b_r_pinky2,0.1555505,2.114353,-0.1043878,273.0051
3,1,R,b_r_pinky3,0.1502749,2.133068,-0.09851401,273.0051
3,1,R,r_thumb_finger_tip_marker,0.2558308,2.159987,-0.1516312,273.0051
3,1,R,r_index_finger_tip_marker,0.2166388,2.184546,-0.07067662,273.0051
3,1,R,r_middle_finger_tip_marker,0.1875136,2.181013,-0.05249214,273.0051
3,1,R,r_ring_finger_tip_marker,0.1694568,2.174057,-0.06650773,273.0051
3,1,R,r_pinky_finger_tip_marker,0.1468901,2.153622,-0.09157395,273.0051
3,1,L,b_l_wrist,-0.03671163,2.035605,-0.1824602,294.4643
3,1,L,b_l_forearm_stub,-0.03671163,2.035605,-0.1824602,294.4643
3,1,L,b_l_thumb0,-0.03935027,2.060836,-0.1841475,294.4643
3,1,L,b_l_thumb1,-0.0527482,2.081759,-0.1835332,294.4643
3,1,L,b_l_thumb2,-0.06327956,2.112268,-0.1874568,294.4643
3,1,L,b_l_thumb3,-0.07116182,2.145128,-0.1871544,294.4643
3,1,L,b_l_index1,-0.03423816,2.127794,-0.1461503,294.4643
3,1,L,b_l_index2,-0.02917007,2.159033,-0.1252477,294.4643
3,1,L,b_l_index3,-0.02504996,2.180126,-0.1138996,294.4643
3,1,L,b_l_middle1,-0.01466636,2.118683,-0.1403921,294.4643
3,1,L,b_l_middle2,-0.005821429,2.151218,-0.1138217,294.4643
3,1,L,b_l_middle3,0.0004147692,2.172918,-0.0980357,294.4643
3,1,L,b_l_ring1,0.002667669,2.108457,-0.1456346,294.4643
3,1,L,b_l_ring2,0.01059821,2.137628,-0.1210003,294.4643
3,1,L,b_l_ring3,0.01618475,2.157682,-0.1044853,294.4643
3,1,L,b_l_pinky0,-0.004696128,2.061425,-0.173132,294.4643
3,1,L,b_l_pinky1,0.01822616,2.096792,-0.1555905,294.4643
3,1,L,b_l_pinky2,0.02790253,2.117906,-0.135483,294.4643
3,1,L,b_l_pinky3,0.03578603,2.133524,-0.1251648,294.4643
3,1,L,l_thumb_finger_tip_marker,-0.08388136,2.166067,-0.1895943,294.4643
3,1,L,l_index_finger_tip_marker,-0.01996571,2.198884,-0.1027834,294.4643
3,1,L,l_middle_finger_tip_marker,0.005700613,2.189524,-0.08012129,294.4643
3,1,L,l_ring_finger_tip_marker,0.01992436,2.174432,-0.08716799,294.4643
3,1,L,l_pinky_finger_tip_marker,0.04217225,2.149616,-0.1116598,294.4643
3,1,R,b_r_wrist,0.2060438,2.030923,-0.16791,294.4643
3,1,R,b_r_forearm_stub,0.2060438,2.030923,-0.16791,294.4643
3,1,R,b_r_thumb0,0.2129622,2.055061,-0.1639215,294.4643
3,1,R,b_r_thumb1,0.2273117,2.075058,-0.1604756,294.4643
3,1,R,b_r_thumb2,0.238694,2.105488,-0.1592263,294.4643
3,1,R,b_r_thumb3,0.2455385,2.13797,-0.152899,294.4643
3,1,R,b_r_index1,0.2209132,2.110849,-0.1112166,294.4643
3,1,R,b_r_index2,0.2200958,2.14395,-0.09272014,294.4643
3,1,R,b_r_index3,0.2188032,2.166189,-0.08300279,294.4643
3,1,R,b_r_middle1,0.2002744,2.103878,-0.1062498,294.4643
3,1,R,b_r_middle2,0.1953131,2.138158,-0.08089289,294.4643
3,1,R,b_r_middle3,0.1913578,2.162666,-0.06894723,294.4643
3,1,R,b_r_ring1,0.1812521,2.098125,-0.112381,294.4643
3,1,R,b_r_ring2,0.1756496,2.129613,-0.09006961,294.4643
3,1,R,b_r_ring3,0.1718318,2.153401,-0.0788567,294.4643
3,1,R,b_r_pinky0,0.1793517,2.058529,-0.1504713,294.4643
3,1,R,b_r_pinky1,0.1635595,2.091844,-0.1235512,294.4643
3,1,R,b_r_pinky2,0.1556274,2.114862,-0.1048167,294.4643
3,1,R,b_r_pinky3,0.1503851,2.133646,-0.09913792,294.4643
3,1,R,r_thumb_finger_tip_marker,0.25567,2.160388,-0.1518835,294.4643
3,1,R,r_index_finger_tip_marker,0.2166557,2.184932,-0.07094641,294.4643
3,1,R,r_middle_finger_tip_marker,0.1876339,2.18175,-0.05324468,294.4643
3,1,R,r_ring_finger_tip_marker,0.1694166,2.174731,-0.0672975,294.4643
3,1,R,r_pinky_finger_tip_marker,0.1470352,2.154275,-0.09240466,294.4643
3,1,L,b_l_wrist,-0.03668544,2.035743,-0.1824243,311.7067
3,1,L,b_l_forearm_stub,-0.03668544,2.035743,-0.1824243,311.7067
3,1,L,b_l_thumb0,-0.03931275,2.060975,-0.1841313,311.7067
3,1,L,b_l_thumb1,-0.05271774,2.081893,-0.1835151,311.7067
3,1,L,b_l_thumb2,-0.06325714,2.112386,-0.187536,311.7067
3,1,L,b_l_thumb3,-0.07112359,2.14525,-0.1873415,311.7067
3,1,L,b_l_index1,-0.0341441,2.127962,-0.146194,311.7067
3,1,L,b_l_index2,-0.02914096,2.159264,-0.1253697,311.7067
3,1,L,b_l_index3,-0.02507652,2.180368,-0.1140228,311.7067
3,1,L,b_l_middle1,-0.01457319,2.118846,-0.1404403,311.7067
3,1,L,b_l_middle2,-0.005768682,2.151422,-0.1139076,311.7067
3,1,L,b_l_middle3,0.0004469845,2.173165,-0.09817221,311.7067
3,1,L,b_l_ring1,0.002752557,2.108607,-0.1456849,311.7067
3,1,L,b_l_ring2,0.01073135,2.13779,-0.1210805,311.7067
3,1,L,b_l_ring3,0.01635072,2.157852,-0.1045859,311.7067
3,1,L,b_l_pinky0,-0.004651466,2.061555,-0.1731379,311.7067
3,1,L,b_l_pinky1,0.01829911,2.096926,-0.1556406,311.7067
3,1,L,b_l_pinky2,0.02804219,2.118068,-0.1355957,311.7067
3,1,L,b_l_pinky3,0.03596383,2.133724,-0.1253627,311.7067
3,1,L,l_thumb_finger_tip_marker,-0.08375895,2.166233,-0.1898469,311.7067
3,1,L,l_index_finger_tip_marker,-0.02003583,2.199156,-0.1029384,311.7067
3,1,L,l_middle_finger_tip_marker,0.005731698,2.18987,-0.08034926,311.7067
3,1,L,l_ring_finger_tip_marker,0.02012067,2.174612,-0.08728494,311.7067
